maturity_rating,episodes_title,url,viewable_runtime,is_movie,original_language,bot_country,provider_release_date,provider_cease_date,bot_system,offer_type,episode_url,series_title,series_url,episode_number,season_number,program_key,series_key
TV-MA,The Game Show,\/shows\/the-detour\/season-4\/episode-6\/the-game-show,1225.6911,episode,en,US,2020-04-16T08:00:00+00:00,2020-04-23T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/the-detour\/season-4\/episode-6\/the-game-show,The Detour,http:\/\/www.tbs.com\/shows\/the-detour,6,4,E| season_4_The Detour,S| The Detour
TV-MA,The Entertainer,\/shows\/the-detour\/season-4\/episode-7\/the-entertainer,1266.0981,episode,en,US,2020-04-16T08:00:00+00:00,2020-04-23T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/the-detour\/season-4\/episode-7\/the-entertainer,The Detour,http:\/\/www.tbs.com\/shows\/the-detour,7,4,E| season_4_The Detour,S| The Detour
TV-MA,The Same,\/shows\/the-detour\/season-4\/episode-8\/the-same,1256.9557,episode,en,US,2020-04-16T08:00:00+00:00,2020-04-23T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/the-detour\/season-4\/episode-8\/the-same,The Detour,http:\/\/www.tbs.com\/shows\/the-detour,8,4,E| season_4_The Detour,S| The Detour
TV-MA,The Bride,\/shows\/the-detour\/season-4\/episode-9\/the-bride,1266.7655,episode,en,US,2020-04-16T08:00:00+00:00,2020-04-23T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/the-detour\/season-4\/episode-9\/the-bride,The Detour,http:\/\/www.tbs.com\/shows\/the-detour,9,4,E| season_4_The Detour,S| The Detour
TV-MA,The Groom,\/shows\/the-detour\/season-4\/episode-10\/the-groom,1262.0942,episode,en,US,2020-04-16T08:00:00+00:00,2020-04-23T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/the-detour\/season-4\/episode-10\/the-groom,The Detour,http:\/\/www.tbs.com\/shows\/the-detour,10,4,E| season_4_The Detour,S| The Detour
TV-MA,Graduation,\/shows\/miracle-workers-dark-ages\/season-2\/episode-1\/graduation,1291.1898,episode,en,US,2020-01-29T08:30:00+00:00,2020-05-01T07:59:59+00:00,TBS,FREE,http:\/\/www.tbs.com\/shows\/miracle-workers-dark-ages\/season-2\/episode-1\/graduation,Miracle Workers: Dark Ages,http:\/\/www.tbs.com\/shows\/miracle-workers-dark-ages,1,2,E| season_2_Miracle Workers: Dark Ages,S| Miracle Workers: Dark Ages
TV-MA,Help Wanted,\/shows\/miracle-workers-dark-ages\/season-2\/episode-2\/help-wanted,1288.9877,episode,en,US,2020-02-05T08:30:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/miracle-workers-dark-ages\/season-2\/episode-2\/help-wanted,Miracle Workers: Dark Ages,http:\/\/www.tbs.com\/shows\/miracle-workers-dark-ages,2,2,E| season_2_Miracle Workers: Dark Ages,S| Miracle Workers: Dark Ages
TV-MA,Road Trip,\/shows\/miracle-workers-dark-ages\/season-2\/episode-3\/road-trip,1218.4506,episode,en,US,2020-02-12T08:30:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/miracle-workers-dark-ages\/season-2\/episode-3\/road-trip,Miracle Workers: Dark Ages,http:\/\/www.tbs.com\/shows\/miracle-workers-dark-ages,3,2,E| season_2_Miracle Workers: Dark Ages,S| Miracle Workers: Dark Ages
TV-MA,Internship,\/shows\/miracle-workers-dark-ages\/season-2\/episode-4\/internship,1194.3932,episode,en,US,2020-02-19T08:30:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/miracle-workers-dark-ages\/season-2\/episode-4\/internship,Miracle Workers: Dark Ages,http:\/\/www.tbs.com\/shows\/miracle-workers-dark-ages,4,2,E| season_2_Miracle Workers: Dark Ages,S| Miracle Workers: Dark Ages
TV-14,Holiday,\/shows\/miracle-workers-dark-ages\/season-2\/episode-5\/holiday,1242.6748,episode,en,US,2020-02-26T08:30:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/miracle-workers-dark-ages\/season-2\/episode-5\/holiday,Miracle Workers: Dark Ages,http:\/\/www.tbs.com\/shows\/miracle-workers-dark-ages,5,2,E| season_2_Miracle Workers: Dark Ages,S| Miracle Workers: Dark Ages
